"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","246424581.005587","305195530.726257","413575418.994413","458826815.642458","566480446.927374","1351452513.96648","1640391061.45251","1758435754.18994","1921005586.59218","1992346368.71508","2505586592.17877","2544413407.82123","2056871508.37989","1250340782.12291","1815620111.73184","2018206703.91061","1448782122.90503","1766139664.80447","4687899441.34078","5724017205.21808","6026262570.79612","6677821229.05028","7059664804.46927","3490111731.84358","1824636871.50838","6861117318.43575","3151005586.59218","2162036796.64804","2299628836.31285","2437130635.75419","2346070251.95531","","",
"Afghanistan","AFG","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","568800000","740800000","722700000","756800000","778500000","821100000","668200000","526300000","574300000","523400000","260500000","","","","","","","","","","","","","","","","","","","1371081298.48482","2126227204.17446","2555903165.91345","3049589965.77067","2315821327.30741","1389026489.6069","1992467139.67629","1416588109.37726","1135231136.78341","1219835579.13772","",
"Angola","AGO","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2430000000","1462000000","2415000000","2620000000","3164000000","3992400000","3620600000","3975659000","3006300000","3166800000","3835758000","5362659000","5145300000","3664700000","5309510000","8187990000","6736820000","8534680110","9709260555.5","13797769756","24286236864.59","33346469287.82","44706905586.82","64243391219.74","41451146946.8","51451730498.67","68042543017.4919","71873279931.5015","69562221910.0981","60851231669.6018","34437293543.5047","28299767212.9401","35598035284.7832","",
"Albania","ALB","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","378100000","430000000","373100000","354000000","334500000","318500000","327300000","333500000","374200000","433900000","353600000","82200000","90300000","189200000","220400000","303700000","372900000","99380000","137130000","389500000","554500000","658200000","667180000","846770660.904754","1249817713.79305","1460772256.90119","1869568360.54437","2464394201.34943","3281842734.12889","3058955246.34378","3324918546.15735","3773677817.45889","3556946492.64955","3700449626.65962","3731055573.79451","3102939345.72801","3439162543.96093","4141086714.11364","",
"Andorra","AND","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","133585338077.074","130546495189.067","204134891602.162","306432199531.369","313423145260.472","234002377741.593","183452382229.015","170003657432.63","150812032824.097","109548300419.927","123737987104.466","126179538622.458","149754545112.968","193380924647.736","185292049190.822","204871987314.806","194039233368.017","200878171458.741","226680732606.266","256772717698.067","259325525695.61","197586459436.443","240450364595.098","328495887833.159","304330204051.19","316507247945.237","396658278139.485","512667991176.171","704552490367.819","841601568045.651","969063806569.035","1282701756125.02","865076489484.657","1067623051569.84","1367171963812.37","1529135088189.98","1479232088532.08","1366860346679.96","890876737290.773","773555408221.417","902139962363.651","",
"United Arab Emirates","ARE","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","4632000000","6602000000","7488000000","9179000000","9897000000","10859000000","9197000000","9290000000","9611000000","10047000000","8449000000","8154000000","11149000000","11766000000","14800000000","14386000000","15366200000","16286160000","19355700000","24956432000","28424754642.4929","31003771471.3552","31255969562.6126","27997318724.6817","31236920314.834","31116753076.8311","29054500000","34336010000","39757250000","46892210000","54528515092.9204","66122298496.1757","81583621071.7764","66335605323.6348","81123016360.6088","97616690275.3835","94330755729.5577","89608120129.4452","81836807734.7264","70022565842.9763","70731678298.7081","72641776197.6214","",
"Armenia","ARM","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173470000","229020000","303619740","369749357.821878","335112773.808225","359079981.191088","385802706.632423","454174297.214579","561984358.295613","747565570.880556","981741374.925292","1117371715.11988","1458848046.08668","1646706743.23362","1968449652.25257","1943627882.74354","1559300543.60909","2210672987.38497","2742201909.0729","2917371358.54345","3155257884.77128","3318345442.34713","3136322622.58439","3500383601.99495","4306763806.84152","",
"American Samoa","ASM","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","31300000","42100000","50200000","104100000","103900000","101000000","99300000","167300000","178600000","205892592.592593","226985185.185185","265525925.925926","290937037.037037","345300000","369862962.962963","407370370.37037","439166666.666667","436459259.259259","401607407.407407","402522222.222222","443288888.888889","465900000","472832108.518519","466861909.62963","445334074.074074","427865302.222222","462637943.703704","533973111.111111","545269385.185185","548169825.555556","581289324.074074","625368677.407407","561623502.222222","523833886.666667","537755738.888889","541549686.666667","529183396.296296","1027283911.97305","1015528213.83166","1036637687.12222","1138880409.6556","",
"Australia","AUS","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46338431721.5787","50111728311.0239","53635948088.1685","54572911594.4656","55290810029.5253","62036906626.4009","70182584496.6265","79842872962.3057","84393594743.4521","73133991014.8336","74820158381.932","83989348863.1056","81575692194.6449","84497680537.5187","94088600035.3725","114901826681.727","137448890573.078","157748983800.885","182994104398.621","232680429205.088","195104905304.235","260249450614.58","324140478278.654","311985984116.933","307257830406.135","297055699993.39","242996661657.401","250757527491.33","296499190608.501","",
"Austria","AUT","Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159058959735.975","175028003699.209","211313160223.643","235876302206.07","185637475393.26","197801804471.37","229323222520.53","218171494112.034","228883573008.928","236025285697.127","202327953729.248","205930623371.373","224088155919.917","",
