"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324022346.36872","1316201117.31844","1346927374.30168","1432402234.63687","1527932960.89385","1816759776.53631","1893854748.60335","2008379888.26816","2146368715.0838","1906145251.39665","1854189944.13408","2136312849.16201","2089385474.86034","2130726256.98324","2113407821.22905","2035754189.94413","1975418994.41341","2031843575.41899","",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","2851981899.33439","3250913052.08144","3170769087.35573","4394495194.49694","5193914593.59853","6070565724.31492","7392004045.28521","8292461472.29283","9950050421.39738","11906569096.4138","12466013788.9131","11339908355.255","10532006113.4124","8647160000.06512","7947225049.27536","8859688364.59221","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5738980003.82281","6697298360.22468","7370216539.32213","8831519590.16866","10645428494.1358","15181994765.8936","16320505275.1029","26207276865.8555","43286243193.0314","44777816508.5397","35682259098.1843","43947386910.9212","45919711316.8811","49304202033.6889","50471640780.6377","38499512247.0853","25529394463.6666","28397112166.2016","",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867136.182956","362610725.835338","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426393.922004","836744255.238814","1064681063.62842","795637355.146558","933613389.785658","1097559739.31933","1508346758.51342","1771126270.36057","2068789181.07372","2591004721.93726","3220863616.26405","3853668207.66534","4364191251.27162","5867635984.02705","6717536051.18804","6004542099.70509","5792205618.05104","6700292383.17062","5860852653.70487","5999411367.79387","6243050762.61481","5071014156.78529","5436290537.60686","6070376331.76238","",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174281072531.649","193174223105.917","202719053726.429","205178866561.407","205168502733.981","198850613234.33","216738680447.713","219711463772.394","233941720058.184","269472380296.629","346181425945.229","424188035677.942","502516590998.634","656850073119.269","849654265010.281","761738493063.261","807395059114.2","913277164825.838","1032503258027.55","1114102836142.12","1174742267354.71","1096775311988.36","1020629641842.23","1052049368279.86","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","184220830496.937","217470660313.138","242812253233.492","253217426820.967","277903335602.451","266276378488.768","270442477876.106","277086453369.639","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.70227","3319672098.15378","4383512570.58549","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","3762000095.03612","5546666806.78726","7015555449.2007","8417142923.96163","7839772666.04089","5042239480.95944","6546483925.69926","11531201153.6445","18606904906.1175","22049649649.6496","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88839174034.695","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75117526486.97","88215682934.7826","",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.47519","1243607801.03366","779530102.320233","729847869.303232","961398417.116201","913101574.26435","894135813.833637","955405613.878244","1000634291.3776","919091321.055349","966166596.339152","977647461.53569","1107060259.87617","1404513018.98854","1620292436.02962","2118459147.50892","2505910483.69341","3604341802.81695","4741291122.57631","3718992863.14565","4196501904.80396","4802697121.00024","5139753188.43898","5360220562.33288","5461874861.45165","4418183191.56224","4510568833.94847","5716187600.00696","",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559000000","571000000","567000000","614000000","634000000","621000000","754000000","556000000","537000000","559000000","643000000","641000000","678000000","657000000","634000000","588000000","",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","34811111.1111111","43451851.8518519","69600000","95400000","118955555.555556","147796296.296296","117211111.111111","147492592.592593","187200000","293462962.962963","303144444.444444","283800000","338911111.111111","340559259.259259","357870370.37037","386455555.555556","398500000","421925925.925926","438925925.925926","467366666.666667","478288888.888889","489922222.222222","529322222.222222","498461555.555556","486572962.962963","474439629.62963","534751185.185185","592338407.407407","682720518.518518","818413185.185185","932372148.148148","952207888.888889","706477111.111111","678929888.888889","641367703.703704","701982925.925926","720788037.037037","742592592.592592","670414259.259259","686701666.666667","","",
"Australia","AUS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2611714637.69739","2952178295.44182","2512039422.10774","2974577220.29343","3270243028.33464","3959009967.52156","4124762011.42345","4222197334.52794","4730652928.65942","4882965617.65035","5455258147.60891","5839399708.81398","6220794392.52337","7022421524.66368","11737656595.4311","14315171377.8506","14038825160.721","16144757972.0119","17265959846.605","20687265704.8733","23827298050.1393","29570416811.7961","32610614586.7814","27658399625.6434","28996558594.4575","31190457927.4373","32912702853.9452","32314716781.3658","39231664726.4261","50821594332.7091","53061177375.9138","52681108233.2627","53341536568.4842","55746908375.4919","59676236596.3335","73019750519.7505","77631259484.0668","82133354202.5356","81674014786.6784","80794585787.6927","89664636061.0438","83770526993.6675","82018627040.6028","98900407687.8276","121992459809.361","145657795820.177","161970649895.178","186383763837.638","239348254252.462","211475482255.927","238851404915","285898649314.798","335971334295.731","334974864060.737","315025245570.55","290506697728.596","259951230164.507","272924051587.601","",
"Austria","AUT","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","1533588047.51366","1601412624.93473","1721989636.40706","1914159091.78538","2162849118.67194","2445451298.78299","2745531718.66462","2849036541.99729","3073420375.16241","3514855808.53937","4222754802.8579","4883423780.152","6036690755.40211","8127808138.30909","10716324867.4912","11418675910.5633","13387941781.0846","16661465073.6825","18958761300.1042","23982629747.8127","28828883216.3369","25143196302.0563","23075814390.5784","23074388080.2819","22995355271.3018","24397666666.6667","31708292654.3488","39047893230.3004","44657529700.2117","47283383151.3261","59578835531.8891","61623796700.0589","67252988605.0589","60542945344.848","68853040597.5184","83696833629.0433","85017442162.7242","80519032585.4099","84196220542.4633","84492009375.6659","82683895338.1242","84695659955.2573","88826566911.3495","109433239277.652","132172572634.716","143496791443.85","158748036632.794","187241938133.041","210090420389.629","167491372603.501","187158711051.024","220535791188.085","209537698503.437","217722805420.505","221515060838.762","187993706280.532","191121433955.482","211511410263.348","",
"Azerbaijan","AZE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3474320239.18929","3622902229.55496","2725096546.55896","3019037459.25035","1015000340.34885","1630233381.04914","1776447337.82841","2102007528.23087","2424529283.64673","1917519517.81886","2023511150.01356","2129925910.01825","3120962764.8632","4769089798.41173","6312201078.66083","7007086947.32388","8132639355.27199","9423610301.82962","11464094449.8539","10235008708.634","10940949296.1256","15881853868.5577","17621945010.1833","19475589547.4825","19721280122.4021","18473453054.8507","16529046813.3108","17104055310.2487","",
"Burundi","BDI","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","26250000","29750000","35000000","33250000","31500002","19928888.8888889","21494857.1428571","21192000","24488000","23004571.4285714","28208000","35832000","37205714.2857143","40576812.5359258","53633015.8730159","79994920.6349206","74673623.1884058","94676666.6666667","123426666.666667","177800000","214223333.333333","213555555.555556","272632222.222222","268000000","232495196.72542","239045071.671224","268172621.529298","291223994.011007","280918091.10011","255573911.399346","314442789.991533","332769069.983968","319246482.287821","254942339.37397","263464979.043231","272899694.103893","136902390.42114","140485312.899106","173751546.009097","129001348.569806","141321270.48441","138400674.414404","140218224.200461","164737396.316344","225367196.228575","322845670.193492","446954632.114287","433983778.268307","591543765.035539","520184945.412831","605576379.83331","764650793.891204","793324476.521963","919359821.304325","928083884.085898","510112645.328263","492652391.019678","","",
"Belgium","BEL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","4488686802.63416","4935914685.53765","5383141329.19941","6084755797.67895","6835605753.21234","7297193143.13369","8275773594.60897","8450148124.74139","9492309938.62933","11307889126.1336","11434570391.2868","12483572403.5852","15300704884.9785","22038930759.6771","29379825911.3505","29985935614.7856","34356762800.418","39946326167.6984","47180976047.1372","60140962850.8531","67211980411.0912","58876182855.2803","55151809464.9479","52365700276.1341","53248465861.4912","53044189075.3448","66132838901.9325","80834902323.0686","92632280416.8952","100889137899.263","123029310478.03","122984906438.275","132228412797.992","119014541511.194","134356139377.864","162226327312.534","162111009771.987","154085588633.288","156588464103.134","156377796718.517","164681315644.002","160957404921.7","167767739506.87","202229345372.46","243552272162.9","270594329063.549","294994856354.284","347603750342.185","410814266881.5","324878021672.687","360976918369.847","427499345361.126","406717335752.688","419284272981.269","435433615762.246","361460500993.35","381549554144.029","415573779270.933","",
"Benin","BEN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","27392931.5879477","22470098.0713944","23547272.2159845","29521371.2224978","33034384.3459012","43212954.8206181","49061969.2248077","60547029.2994863","62251308.8497674","70874399.428221","81609765.5923541","93259568.232455","109969562.460619","130886423.388841","163593479.063766","226162498.384372","216705681.720691","260873171.45047","320872304.69046","439164032.237441","524469482.145934","567561768.14245","508205482.670296","345886049.660689","325135991.277854","383239061.752248","435776317.700623","483576008.712416","519825023.283673","372643203.01384","520152807.120127","602729559.610204","567957714.399145","748725692.941088","576481292.395399","790421188.969052","708783113.714255","715320118.375231","797921924.9776","1102324171.01146","895394973.11919","989716092.674532","955970273.241355","1161389627.63784","1245729576.16801","1291452506.79615","1456520213.32972","2102378049.13672","2399703621.1943","2233857695.57482","2289878280.2351","2300838034.34915","2587174385.06203","3354677232.61274","4158992344.48793","2848680761.24842","3108869793.03153","3725561583.97621","",
"Burkina Faso","BFA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","52340174.8240483","55303956.0858044","59614687.0094664","61742281.2278203","47262666.4560777","48113645.220433","50541606.4253105","62777892.6825064","70389699.4966162","79074242.0483112","73994573.5051452","96149821.8309071","123177211.94028","154655047.285848","183824303.316181","283412263.564162","263748343.589297","344381930.774879","409486806.897939","511997958.834458","602966359.727281","558238164.599306","554828007.505641","473268805.403788","419829355.821608","481677884.152019","589940838.720911","665476559.086833","709757519.098655","618479382.661637","758453092.890852","731992034.934275","437468498.234997","482110691.891892","474345862.228087","633116355.176136","714319767.828281","651175221.482439","789066274.069555","723529014.516129","656698457.223001","650493800.803096","695492405.753785","926190161.980302","1248353161.02224","1408926909.51358","1476327434.77071","1684344019.72847","2204833708.94309","2320061450.33463","2661670136.10565","3555059369.59659","4149368368.49601","3327991660.59428","3015549690.03772","2604482715.76863","2827512334.56806","3247582094.04451","",
